Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Total Points,Form
Castagne,9,Defender,4.2,1.7,0.15,0.35,31,2.0
Diop,9,Defender,4.4,0.2,0.51,0.03,26,0.3
Harris,9,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Iwobi,9,Midfielder,5.7,5.4,3.19,5.17,109,2.0
Leno,9,Goalkeeper,5.0,2.7,0.0,0.02,75,2.0
Lukić,9,Midfielder,4.8,0.1,0.82,1.09,39,2.0
Mbabu,9,Defender,4.0,0.1,0.0,0.0,0,0.0
Muniz,9,Forward,5.5,1.5,3.98,0.1,55,3.3
Raúl,9,Forward,5.6,8.5,9.14,1.65,105,5.0
Ream,9,Defender,4.5,0.0,0.0,0.0,0,0.0
Reed,9,Midfielder,4.7,0.0,0.14,0.09,7,0.3
Robinson,9,Defender,5.1,25.8,0.69,3.14,90,2.7
Stansfield,9,Forward,5.0,0.0,0.0,0.0,1,0.0
Tete,9,Defender,4.4,0.2,1.02,0.44,37,0.0
Vinicius,9,Forward,5.0,0.3,0.06,0.0,1,0.0
Wilson,9,Midfielder,5.2,0.3,3.29,0.94,63,0.3
Sessegnon,9,Defender,4.1,0.1,0.0,0.0,4,0.7
J.Cuenca,9,Defender,4.4,0.0,0.0,0.0,4,0.0
King,9,Midfielder,4.5,0.1,0.2,0.65,7,0.0
Godo,9,Midfielder,4.4,0.0,0.0,0.0,1,0.0
Berge,9,Midfielder,5.0,0.0,0.16,0.37,35,2.0
Amissah,9,Defender,4.0,0.0,0.0,0.0,0,0.0
Silva,9,Unknown,1.1,0.9,0.0,0.0,36,12.0
Willian,9,Midfielder,5.0,0.0,0.0,0.07,1,1.0
Enciso,10,Midfielder,5.4,0.1,1.49,0.53,20,2.0
Al-Hamadi,10,Forward,4.7,0.3,0.35,0.04,8,0.0
Baggott,10,Defender,4.0,0.0,0.0,0.0,0,0.0
Broadhead,10,Midfielder,4.9,0.0,1.01,0.9,13,1.0
Burgess,10,Defender,3.9,1.7,0.72,0.23,14,0.0
Burns,10,Midfielder,4.8,0.0,0.5,1.17,30,0.3
Chaplin,10,Midfielder,5.1,0.1,1.18,0.54,33,0.0
H.Clarke,10,Defender,4.0,0.1,0.08,0.1,1,0.0
Davis,10,Defender,4.4,1.4,0.84,3.65,48,0.3
Delap,10,Forward,5.6,3.6,7.58,1.26,101,6.0
Edmundson,10,Defender,4.0,0.1,0.0,0.0,1,0.0
Greaves,10,Defender,3.9,4.5,0.68,0.09,30,2.7
Harness,10,Midfielder,4.9,0.0,0.0,0.05,2,0.0
Hirst,10,Forward,5.4,0.0,0.97,0.1,22,1.0
Humphreys,10,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Hutchinson,10,Midfielder,5.2,0.3,1.79,1.5,63,2.7
Johnson,10,Defender,3.9,2.1,0.4,0.39,16,1.0
Ladapo,10,Forward,4.5,0.4,0.0,0.0,0,0.0
Luongo,10,Midfielder,4.4,0.2,0.0,0.01,9,0.3
Morsy,10,Midfielder,4.9,0.1,0.31,1.0,51,1.3
Ndaba,10,Defender,4.0,0.0,0.0,0.0,0,0.0
Slicker,10,Goalkeeper,3.9,0.7,0.0,0.0,0,0.0
Taylor,10,Midfielder,4.8,0.0,0.55,0.71,23,0.7
Tuanzebe,10,Defender,3.9,1.6,0.18,0.09,15,-0.3
Walton,10,Goalkeeper,4.3,0.2,0.0,0.0,14,0.0
Woolfenden,10,Defender,4.0,1.3,0.03,0.02,14,0.3
Phillips,10,Midfielder,4.8,0.1,0.39,0.32,21,1.0
Muric,10,Goalkeeper,4.4,0.8,0.0,0.01,49,0.3
Jaden,10,Midfielder,5.3,0.0,0.46,0.21,13,1.0
Townsend,10,Defender,3.9,0.6,0.0,0.15,4,1.0
Szmodics,10,Midfielder,5.7,0.2,3.44,0.44,52,0.0
Cajuste,10,Midfielder,4.5,0.2,0.17,0.28,32,1.3
O'Shea,10,Defender,4.0,1.4,0.83,0.17,31,1.0
J.Clarke,10,Midfielder,5.4,0.0,0.83,0.71,30,0.7
Ogbene,10,Midfielder,4.8,0.0,0.0,0.05,7,0.0
Godfrey,10,Defender,4.0,0.0,0.0,0.02,0,0.0
McKenna,10,Unknown,0.5,0.4,0.0,0.0,11,3.7
Palmer,10,Goalkeeper,4.5,0.0,0.0,0.0,4,4.0
Buonanotte,11,Midfielder,4.7,0.6,3.28,1.98,59,0.3
J.Ayew,11,Midfielder,5.2,0.2,3.35,1.13,56,2.0
