Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Expected Goal Involvement (xGI),Total Points,Form,Points per Million (PPM),Minutes per Game,Fixture Difficulty (Next 3),Differential Score
Kamaldeen,Southampton,Midfielder,5.0,0.0,0.73,0.2,0.9299999999999999,25,4.3,5.0,65.7,3.33,9.99
Lallana,Southampton,Midfielder,5.0,0.0,0.15,0.48,0.63,16,0.7,3.2,14.57,3.33,2.34
Larios,Southampton,Defender,3.9,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,3.33,0.0
Lis,Southampton,Goalkeeper,4.0,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,3.33,0.0
Lumley,Southampton,Goalkeeper,4.0,0.6,0.0,0.0,0.0,8,0.0,2.0,1.0,3.33,0.0
Manning,Southampton,Defender,4.3,0.1,0.14,1.67,1.81,16,0.3,3.72,14.34,3.33,3.01
Mara,Southampton,Forward,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.33,0.0
McCarthy,Southampton,Goalkeeper,4.3,0.1,0.0,0.0,0.0,12,0.7,2.79,26.25,3.33,1.27
Onuachu,Southampton,Forward,4.9,0.4,1.72,0.23,1.95,31,4.7,6.33,95.21,3.33,8.8
Smallbone,Southampton,Midfielder,5.0,0.0,0.31,0.64,0.95,10,0.7,2.0,25.97,3.33,2.82
Stephens,Southampton,Defender,4.0,0.4,0.28,0.2,0.48000000000000004,11,0.3,2.75,21.9,3.33,0.94
Stewart,Southampton,Forward,4.4,2.0,0.17,0.02,0.19,3,0.0,0.68,1.0,3.33,0.1
Sugawara,Southampton,Defender,4.2,0.2,0.39,1.88,2.27,37,0.7,8.81,22.8,3.33,4.0
Taylor,Southampton,Defender,3.9,4.2,0.0,0.1,0.1,5,0.0,1.28,1.0,3.33,0.03
Walker-Peters,Southampton,Defender,4.3,0.3,0.49,2.06,2.55,41,1.3,9.53,65.0,3.33,4.94
Wood,Southampton,Defender,4.0,1.2,0.23,0.04,0.27,13,0.0,3.25,1.0,3.33,0.18
Cornet,Southampton,Midfielder,4.7,0.0,0.16,0.0,0.16,1,0.0,0.21,1.0,3.33,0.24
Downes,Southampton,Midfielder,4.7,0.0,0.62,1.14,1.7599999999999998,32,0.0,6.81,1.0,3.33,2.64
Brereton Díaz,Southampton,Midfielder,4.8,0.1,0.9,0.15,1.05,13,0.0,2.71,1.0,3.33,1.43
Dibling,Southampton,Midfielder,4.5,1.7,2.12,1.22,3.34,46,0.3,10.22,8.21,3.33,2.08
